PeriodId,SetCode,Year,Subject,Teacher
1,ZULU3E,3,ZULU,NWN
1,ENGL4E,4,ENGL,KMB
1,ENGL6E,6,ENGL,AEW
1,AFRI8C_2,8,AFRI,AST
1,GEOG9E,9,GEOG,CAE
1,MATH9R,9,MATH,JMJ
1,HIST10C,10,HIST,DAD
1,ENGL12E,12,ENGL,DBW
1,ENGL12R,12,ENGL,DJB
1,MATH1D,1,MATH,EKM
1,MATH1E,1,MATH,TKM
1,MATH1R,1,MATH,JYH
1,ENGL2D,2,ENGL,LM1
1,ENGL2E,2,ENGL,GNB
1,ENGL2R,2,ENGL,RJM
1,ENGL3D,3,ENGL,SLE
1,ENGL3R,3,ENGL,MBT
1,DART4D,4,DART,TPE
1,ENGL4R,4,ENGL,CES
1,CODI5E,5,CODI,ADT
1,SOCS5R,5,SOCS,LMK
1,DART6R,6,DART,CWM
1,MATH7E,7,MATH,CHS
1,PHYS7R,7,PHYS,MKN
1,AFRI8C_1,8,AFRI,MAD
1,ZULU8C,8,ZULU,SBM
1,ACCO10C,10,ACCO,LNB
1,PHYS10C_1,10,PHYS,JDB
1,INFT11C,11,INFT,CLB
1,LSCI11C,11,LSCI,CSE
2,LSCI11C,11,LSCI,CSE
2,STG1S1R,21,STG1,LOH
2,STG2S2E,22,STG2,JJF
2,STG2S2R,22,STG2,SCZ
2,STG4S4E,24,STG4,NHB
2,STG4S4R,24,STG4,NKH
2,STG3S3E,23,STG3,LAG
2,STG3S3R,23,STG3,KJE
2,STG5S5E,25,STG5,LDP
2,CMUSS5D,25,CMUS,JLG
2,ENGLS5R,25,ENGL,AFW
2,INFT11C,11,INFT,CLB
2,PHYS10C_1,10,PHYS,JDB
2,ACCO10C,10,ACCO,LNB
2,ZULU8C,8,ZULU,SBM
2,AFRI8C_1,8,AFRI,MAD
2,PHYS7R,7,PHYS,MKN
2,MATH7E,7,MATH,CHS
2,DART6R,6,DART,CWM
2,SOCS5R,5,SOCS,LMK
2,CODI5E,5,CODI,ADT
2,ENGL4R,4,ENGL,CES
2,DART4D,4,DART,TPE
2,ENGL3R,3,ENGL,MBT
2,ENGL3D,3,ENGL,SLE
2,ENGL2R,2,ENGL,RJM
2,ENGL2E,2,ENGL,GNB
2,ENGL2D,2,ENGL,LM1
2,MATH1R,1,MATH,JYH
2,MATH1E,1,MATH,TKM
2,MATH1D,1,MATH,EKM
2,ENGL12R,12,ENGL,DJB
2,ENGL12E,12,ENGL,DBW
2,HIST10C,10,HIST,DAD
2,MATH9R,9,MATH,JMJ
2,GEOG9E,9,GEOG,CAE
2,AFRI8C_2,8,AFRI,AST
2,ENGL6E,6,ENGL,AEW
2,ENGL4E,4,ENGL,KMB
2,ZULU3E,3,ZULU,NWN
3,ENGL5R,5,ENGL,AEW
3,MATH5E,5,MATH,KDL
3,MATH6E,6,MATH,ADT
3,AFRI7C_1,7,AFRI,AST
3,ZULU7C,7,ZULU,NWN
3,MATH12C,12,MATH,JMJ
3,HIST8D,8,HIST,DAD
3,ENGL9E,9,ENGL,DBW
3,ENGLS5R,25,ENGL,AFW
3,MATH2E,2,MATH,GNB
3,MATH2R,2,MATH,RJM
3,AFRI3R,3,AFRI,MBT
3,CMUS3E,3,CMUS,ALW
3,PHED3D,3,PHED,CRD
3,MATH4D,4,MATH,YSM
3,MATH4E,4,MATH,KMB
3,MATH4R,4,MATH,CES
3,AFRI1R,1,AFRI,JYH
3,ENGL1E,1,ENGL,TKM
3,ZULU1D,1,ZULU,MRM
3,MATH2D,2,MATH,LM1
3,STG3S3R,23,STG3,KJE
3,STG3S3E,23,STG3,LAG
3,STG4S4E,24,STG4,NHB
3,STG2S2R,22,STG2,SCZ
3,STG1S1R,21,STG1,LOH
3,NSCI6R,6,NSCI,LMK
3,AFRI7C_2,7,AFRI,TPE
3,DART8R,8,DART,TYS
3,ENBU8E,8,ENBU,LNB
3,ENGL9R,9,ENGL,CWM
3,GEOG10C,10,GEOG,CAE
3,INFT10C,10,INFT,CLB
3,LSCI10C_2,10,LSCI,CSE
3,PHYS10C_1,10,PHYS,JDB
3,VART10C,10,VART,AHN
3,CMUSS5E,25,CMUS,JLG
3,ENGLS5D,25,ENGL,TNM
3,LORI11R,11,LORI,LNH
3,MLIT12C,12,MLIT,MKN
3,STG2S2E,22,STG2,JJF
3,STG4S4R,24,STG4,NKH
4,STG4S4R,24,STG4,NKH
4,MLIT12C,12,MLIT,MKN
4,ZULU11C,11,ZULU,SBM
4,STG1S1R,21,STG1,LOH
4,ENGLS5D,25,ENGL,TNM
4,AFRI1D,1,AFRI,EKM
4,ENGL1R,1,ENGL,JYH
4,ZULU1E,1,ZULU,MRM
4,MATH3E,3,MATH,NLM
4,SOCS6R,6,SOCS,LMK
4,PUBS8D,8,PUBS,WOE
4,AFRI11C,11,AFRI,MAD
4,VART10C,10,VART,AHN
4,PHYS10C_1,10,PHYS,JDB
4,LSCI10C_2,10,LSCI,CSE
4,INFT10C,10,INFT,CLB
4,GEOG10C,10,GEOG,CAE
4,DART8R,8,DART,TYS
4,AFRI7C_2,7,AFRI,TPE
4,STG2S2E,22,STG2,JJF
4,STG2S2R,22,STG2,SCZ
4,STG4S4E,24,STG4,NHB
4,STG3S3E,23,STG3,LAG
4,STG5S5R,25,STG5,AFW
4,STG3S3R,23,STG3,KJE
4,ENGLS5E,25,ENGL,LDP
4,MATH2D,2,MATH,LM1
4,MATH4R,4,MATH,CES
4,MATH4E,4,MATH,KMB
4,MATH4D,4,MATH,YSM
4,PHED3D,3,PHED,CRD
4,AFRI3R,3,AFRI,MBT
4,MATH2R,2,MATH,RJM
4,MATH2E,2,MATH,GNB
4,ENGL9E,9,ENGL,DBW
4,HIST9R,9,HIST,DAD
4,MATH12C,12,MATH,JMJ
4,ENGL8E,8,ENGL,DJB
4,ZULU7C,7,ZULU,NWN
4,AFRI7C_1,7,AFRI,AST
4,MATH6E,6,MATH,ADT
4,MATH5E,5,MATH,KDL
4,ENGL5R,5,ENGL,AEW
5,ENGL8E,8,ENGL,DJB
5,HIST9R,9,HIST,DAD
5,TUTO7E,7,TUTO,MRM
5,TUTO7R,7,TUTO,KDL
5,LSCI8R,8,LSCI,CSE
5,DSTU12C,12,DSTU,VPA
5,PHYS12C,12,PHYS,JDB
5,ENGLS5E,25,ENGL,LDP
5,STG3S3R,23,STG3,KJE
5,STG5S5D,25,STG5,TNM
5,STG5S5R,25,STG5,AFW
5,TUTO4D,4,TUTO,YSM
5,TUTO4E,4,TUTO,KMB
5,TUTO4R,4,TUTO,CES
5,TUTO5E,5,TUTO,AEW
5,TUTO5R,5,TUTO,LMK
5,TUTO6E,6,TUTO,TPE
5,TUTO6R,6,TUTO,NWN
5,MATH8D,8,MATH,CHS
5,PUBS9E,9,PUBS,DBW
